,text,pred_sentiment,pred_score
0,the happy bastard's quick movie review,Neutral,0.9901055693626404
1,damn that y2k bug .,Negative,0.9207392930984497
2,it's got a head start in this movie starring jamie lee curtis and another baldwin brother ( william this time ) in a story regarding a crew of a tugboat that comes across a deserted russian tech ship that has a strangeness to it when they kick the power back on .,Neutral,0.9992130994796753
3,little do they know the power within . . .,Neutral,0.9993240833282471
4,"going for the gore and bringing on a few action sequences here and there , virus still feels very empty , like a movie going for all flash and no substance .",Neutral,0.993415117263794
5,"we don't know why the crew was really out in the middle of nowhere , we don't know the origin of what took over the ship ( just that a big pink flashy thing hit the mir ) , and , of course , we don't know why donald sutherland is stumbling around drunkenly throughout .",Neutral,0.8999965786933899
6,"here , it's just "" hey , let's chase these people around with some robots "" .",Neutral,0.999966025352478
7,"the acting is below average , even from the likes of curtis .",Negative,0.9972807168960571
8,you're more likely to get a kick out of her work in halloween h20 .,Neutral,0.9999778270721436
9,"sutherland is wasted and baldwin , well , he's acting like a baldwin , of course .",Neutral,0.9999687671661377
10,"the real star here are stan winston's robot design , some schnazzy cgi , and the occasional good gore shot , like picking into someone's brain .",Neutral,0.982149064540863
11,"so , if robots and body parts really turn you on , here's your movie .",Neutral,0.9999839067459106
12,"otherwise , it's pretty much a sunken ship of a movie .",Neutral,0.9999840259552002
13,""" jaws "" is a rare film that grabs your attention before it shows you a single image on screen .",Neutral,0.999962329864502
14,"the movie opens with blackness , and only distant , alien-like underwater sounds .",Neutral,0.9999964237213135
15,"then it comes , the first ominous bars of composer john williams' now infamous score .",Neutral,0.9995580315589905
16,dah-dum .,Neutral,0.9956002235412598
17,"from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly .",Neutral,0.9968357682228088
18,"right away he lets us know how vulnerable we all are floating in the ocean , and once "" jaws "" has attacked , it never relinquishes its grip .",Neutral,0.9239265322685242
19,"perhaps what is most outstanding about "" jaws "" is how spielberg builds the movie .",Neutral,0.9993374943733215
20,"he works it like a theatrical production , with a first act and a second act .",Neutral,0.9999972581863403
21,"unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act .",Negative,0.9940701127052307
22,"until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music .",Neutral,0.9999637603759766
23,"he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying .",Neutral,0.9363263845443726
24,he doesn't let us get bored with the imagery .,Neutral,0.9999532699584961
25,"the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years .",Neutral,0.9999438524246216
26,"the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money .",Neutral,0.8023941516876221
27,"brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute .",Neutral,0.9999936819076538
